order_id,customer_id,order_date
1,5,2024-01-01
2,37,2024-01-02
3,41,2024-01-03
4,43,2024-01-04
5,46,2024-01-05
6,15,2024-01-06
7,8,2024-01-07
8,20,2024-01-08
9,31,2024-01-09
10,12,2024-01-10
11,42,2024-01-11
12,4,2024-01-12
13,34,2024-01-13
14,4,2024-01-14
15,43,2024-01-15
16,21,2024-01-16
17,47,2024-01-17
18,23,2024-01-18
19,15,2024-01-19
20,15,2024-01-20
21,31,2024-01-21
22,6,2024-01-22
23,23,2024-01-23
24,24,2024-01-24
25,34,2024-01-25
26,1,2024-01-26
27,18,2024-01-27
28,46,2024-01-28
29,25,2024-01-29
30,48,2024-01-30
31,37,2024-01-31
32,29,2024-02-01
33,46,2024-02-02
34,41,2024-02-03
35,11,2024-02-04
36,27,2024-02-05
37,37,2024-02-06
38,35,2024-02-07
39,15,2024-02-08
40,16,2024-02-09
41,48,2024-02-10
42,43,2024-02-11
43,34,2024-02-12
44,21,2024-02-13
45,28,2024-02-14
46,13,2024-02-15
47,39,2024-02-16
48,13,2024-02-17
49,42,2024-02-18
50,23,2024-02-19
51,39,2024-02-20
52,33,2024-02-21
53,22,2024-02-22
54,39,2024-02-23
55,9,2024-02-24
56,10,2024-02-25
57,8,2024-02-26
58,31,2024-02-27
59,19,2024-02-28
60,1,2024-02-29
61,23,2024-03-01
62,49,2024-03-02
63,48,2024-03-03
64,2,2024-03-04
65,43,2024-03-05
66,7,2024-03-06
67,17,2024-03-07
68,13,2024-03-08
69,23,2024-03-09
70,29,2024-03-10
71,16,2024-03-11
72,18,2024-03-12
73,28,2024-03-13
74,48,2024-03-14
75,1,2024-03-15
76,37,2024-03-16
77,23,2024-03-17
78,42,2024-03-18
79,29,2024-03-19
80,12,2024-03-20
81,24,2024-03-21
82,1,2024-03-22
83,23,2024-03-23
84,6,2024-03-24
85,6,2024-03-25
86,5,2024-03-26
87,24,2024-03-27
88,40,2024-03-28
89,28,2024-03-29
90,10,2024-03-30
91,4,2024-03-31
92,14,2024-04-01
93,32,2024-04-02
94,15,2024-04-03
95,4,2024-04-04
96,39,2024-04-05
97,13,2024-04-06
98,17,2024-04-07
99,50,2024-04-08
100,9,2024-04-09
